Vardas367           Pavarde367  1  4  1  5  1  4  5  2  2  1  6  3  1  3  4  1 ; final points 1.75
Vardas2379         Pavarde2379  4  3  2  7  2  8  5  9  2  7  6  1  3  4  3  1 ; final points 2.36
Vardas3597         Pavarde3597  1  9  4  2  4  1  3  8  7  3  4  6  8  3  3  1 ; final points 2.36
Vardas5252         Pavarde5252  1  3  4  1  6  9 10  6  1  5  7  2  5  5  1  1 ; final points 2.36
Vardas2331         Pavarde2331  2  3  7  4  2  1  2  8  5  5  7  3  7  2  9  1 ; final points 2.39
Vardas1967         Pavarde1967  3  2  7  8  2  3  2  5  5  2  6  3  7  8  4  1 ; final points 2.39
Vardas5093         Pavarde5093  2  1  3  3  2  4  8  9  4  9  1  3  6  9  3  1 ; final points 2.39
Vardas8450         Pavarde8450  7  1  5  6  2  8  4  3  7  5  1  4  3  9  2  1 ; final points 2.39
Vardas4273         Pavarde4273  9  6  4  4  1  2  3  4  3  5  6  1  8  6  5  1 ; final points 2.39
Vardas761           Pavarde761  4  8  7  5  2  7  5  3  1  1  4  5  4  9  2  1 ; final points 2.39
Vardas7672         Pavarde7672  7  1  2  8  1  2  7  1 10  8  6  4  7  2  1  1 ; final points 2.39
Vardas4920         Pavarde4920  5  1  5  2  5  1  6  5  1  4 10  8 10  1  3  1 ; final points 2.39
Vardas365           Pavarde365  9  7  6  6  2  5  8  8  8  1  1  1  1  3  1  1 ; final points 2.39
Vardas6087         Pavarde6087  8  1  1  4  5  7  3  8  3  4  2  5  3  8  5  1 ; final points 2.39
Vardas5949         Pavarde5949  3  1  4  2  8  6  3  7  1  3  6  6  9  5  3  1 ; final points 2.39
Vardas1268         Pavarde1268  4  5  5  7  5  2  1  8  1  6  3  7  8  4  1  1 ; final points 2.39
Vardas2324         Pavarde2324  9  7  1  2  5  1  6  2  2  7  6  2 10  4  3  1 ; final points 2.39
Vardas3090         Pavarde3090  8  3  5  7  6  1  3  4  3  7  3  3  2  8  5  1 ; final points 2.41
Vardas155           Pavarde155  2  7  6  2 10  4  6  1  7 10  1  2  3  2  5  1 ; final points 2.41
Vardas4183         Pavarde4183  7  7  1  4  3  6  8  9  1  2  8  2  1  2  7  1 ; final points 2.41
Vardas738           Pavarde738  6  9  1  8  5  1  3  1  7  8  8  2  1  2  6  1 ; final points 2.41
Vardas6499         Pavarde6499  2  3  7  9  3  1  2  1  6 10  2  7 10  2  3  1 ; final points 2.41
Vardas5947         Pavarde5947  4  4  2  9 10  4  6  3  5  1  3 10  2  2  3  1 ; final points 2.41
Vardas566           Pavarde566  3  8  3 10  1  1  5  9  6  5  2  4  2  3  6  1 ; final points 2.41
Vardas6648         Pavarde6648  3  7  7  4  5  2  1  6  7  7  2  7  2  6  2  1 ; final points 2.41
Vardas2400         Pavarde2400  1  6  6  4  8 10  3  2  1  2  7  3  5  1  9  1 ; final points 2.41
Vardas9330         Pavarde9330  1  2 10  6  4  7  2 10  3  1  6  1  3  3  9  1 ; final points 2.41
Vardas8447         Pavarde8447  2  8  1  6  1  7  2  6  1  2 10  8  8  5  1  1 ; final points 2.41
Vardas3826         Pavarde3826 10  3  4  4  4  3  5  4 10  5  1  3  4  4  5  1 ; final points 2.44
Vardas5528         Pavarde5528  6  3  8  4  1  4  3  1  1  5  5  8  6  7  7  1 ; final points 2.44
Vardas6818         Pavarde6818  6 10  9  6  7  2  3  5  1  1  2  1  1  7  8  1 ; final points 2.44
Vardas227           Pavarde227  6  3  7  5 10  1  1  3  5  3  3  6  2  4 10  1 ; final points 2.44
Vardas3908         Pavarde3908  2  7  6  3  4  5  8  7  2  1  3 10  1  3  7  1 ; final points 2.44
Vardas5674         Pavarde5674  8  2  4  7 10  9  3  7  2  1  5  2  5  3  1  1 ; final points 2.44
Vardas2345         Pavarde2345  3  1  5  3  6  1  4  5  4  6  8  8  2  6  7  1 ; final points 2.44
Vardas2716         Pavarde2716  6  5  2  1  3  2  1  5  3  8  8  9  7  2  7  1 ; final points 2.44
Vardas720           Pavarde720  9  8  7  4  5  8  5  4  1  3  8  1  1  1  4  1 ; final points 2.44
Vardas995           Pavarde995  1  9  8 10  4  4  1  8  1  8  2  1  4  4  4  1 ; final points 2.44
Vardas7094         Pavarde7094  2  8  6  6  3  2  3  2  5  8  2  6  5  9  2  1 ; final points 2.44
Vardas768           Pavarde768  1  1 10  3  5  4  1  7  4  6  2  9  6  9  1  1 ; final points 2.44
Vardas7932         Pavarde7932  8  1  4  3  1  6  8  4  8  4  7  5  4  2  4  1 ; final points 2.44
Vardas6368         Pavarde6368  5  5  7  4  2  7  2  1  5  3  6  7  8  2  5  1 ; final points 2.44
Vardas201           Pavarde201  6  1  5  1  6  4  6  4  8  2  5  2  9  3  7  1 ; final points 2.44
Vardas2007         Pavarde2007  8  3  9  5  2  5  2  2  7  5  4  1  9  3  4  1 ; final points 2.44
Vardas6875         Pavarde6875  5  1  2  8  6  3  5  7  3  5  8  3  7  2  4  1 ; final points 2.44
Vardas5394         Pavarde5394  9  3  9  7  4  8  7  1  1  4  2  2  3  5  4  1 ; final points 2.44
Vardas1197         Pavarde1197  5  8  1  7  7  2  8  4  4  1  4  2  1  7  8  1 ; final points 2.44
Vardas7049         Pavarde7049  3  4  5  1  6  6  6  5  3  6  9  5  1  4  5  1 ; final points 2.44
Vardas8575         Pavarde8575 10  5  3  4  5 10  7  8  6  4  2  1  1  1  3  1 ; final points 2.47
Vardas6664         Pavarde6664  6  9  1  9  1  2  7  2  4  4  2  4  3 10  6  1 ; final points 2.47
Vardas4216         Pavarde4216  3  5  4  8  3 10  2  1  6  4  7  2  1  4 10  1 ; final points 2.47
Vardas4397         Pavarde4397  7  5  1  4  2  2  7  8  6  9  1  1  9  6  2  1 ; final points 2.47
Vardas5454         Pavarde5454  7  3  3  2  7  2  8  3  4  1  8  7  5  5  5  1 ; final points 2.47
Vardas1857         Pavarde1857  4  2  1  3  7  4  6  3  5  9  3  9  4  3  7  1 ; final points 2.47
Vardas9128         Pavarde9128  6  9  4  5  6  2  4  7  5  8  3  3  5  1  2  1 ; final points 2.47
Vardas4311         Pavarde4311  4  6  2  5  3  9  5  6  3  1  7  3  9  2  5  1 ; final points 2.47
Vardas8879         Pavarde8879  2  6  8  5  5  1  6  3  4  4  1  9  1  6  9  1 ; final points 2.47
Vardas933           Pavarde933  1  8  6  3  8  7  7  5  7  1  5  7  1  2  2  1 ; final points 2.47
Vardas4312         Pavarde4312  5  2  5  1  4  1  4  9  1  5  1  8  6  8 10  1 ; final points 2.47
Vardas9823         Pavarde9823  9  6  2  1  3  1  4  4  1  6  3 10  7  6  7  1 ; final points 2.47
Vardas9339         Pavarde9339  9  2  6  5  1  1  4  3  9  9  6  9  3  2  1  1 ; final points 2.47
Vardas9923         Pavarde9923  2  8  2  2  1  8  8  8  8  1  2  7  4  2  7  1 ; final points 2.47
Vardas1896         Pavarde1896  4  8  4  4  8  5  3  1  9  2  5  1  9  5  2  1 ; final points 2.47
Vardas9594         Pavarde9594  1  5  2  3  4  1  7  6  9  5 10  5  1  9  2  1 ; final points 2.47
Vardas8727         Pavarde8727  9  1  8  2  3  2  1  8  2  7  5  6  4  6  6  1 ; final points 2.47
Vardas4984         Pavarde4984  3  9  2  7  2 10  5  7  2  1  2  8  5  1  6  1 ; final points 2.47
Vardas8642         Pavarde8642  2 10  1  7  2  8  9  1  6  3  4  7  5  1  4  1 ; final points 2.47
Vardas9414         Pavarde9414  6  1  5  5  1  9  1  8  2  4  4  2  7  8  7  1 ; final points 2.47
Vardas1128         Pavarde1128  2  3  3 10  1  5  8  7  1  5  3  3  8  9  2  1 ; final points 2.47
Vardas3347         Pavarde3347  8  1  2  8  6  3  1  2  6  8  3  4  5  3 10  1 ; final points 2.47
Vardas7327         Pavarde7327  1  5  1  6  5  1  1  3  8  4  7  9  9  8  2  1 ; final points 2.47
Vardas8367         Pavarde8367  9  1  2  1  4 10  5  2  1  9  8  3  1  7  7  1 ; final points 2.47
Vardas1594         Pavarde1594  3  4  3  5  7  2  4 10  7  8  1  4  3  5  4  1 ; final points 2.47
Vardas2152         Pavarde2152  4  2  2  2  8  5  7  5 10  5  3  8  2  6  1  1 ; final points 2.47
Vardas4121         Pavarde4121  2 10  7  6  5  1  8  4  9  1  5  4  4  1  3  1 ; final points 2.47
Vardas4483         Pavarde4483  7  4  9  4  3  1  2  8 10  4  3  2  8  1  4  1 ; final points 2.47
Vardas8332         Pavarde8332  1  3  9  5  3  4  8  1  2  1  5  1  1  3  1  2 ; final points 2.48
Vardas1588         Pavarde1588  4 10  3  2  9  5  5  3  4  4  1  6 10  2  3  1 ; final points 2.49
Vardas48             Pavarde48  6  2  1  4  6  3  9  4  5  7 10  6  1  6  1  1 ; final points 2.49
Vardas2668         Pavarde2668  6  1  5  9  4  5  1  6  9  2  9  5  2  3  4  1 ; final points 2.49
Vardas767           Pavarde767  8  1  6  6  7  2  5  6  4  3  2  6  7  3  5  1 ; final points 2.49
Vardas7493         Pavarde7493  3 10  7  2  2  1  5  1  8  6  8  7  7  1  3  1 ; final points 2.49
Vardas3800         Pavarde3800  3  6  3  7  4  4  1  4  4  9  3  9 10  3  1  1 ; final points 2.49
Vardas3222         Pavarde3222  9  3  4  7  3  1  5  3  4  8  3  2  6 10  3  1 ; final points 2.49
Vardas6571         Pavarde6571  2  4  9  1 10  7  8  1 10  2  3  4  2  1  7  1 ; final points 2.49
Vardas5793         Pavarde5793  2  9  2  7  9  2  6  1  5  3  3  7  7  4  4  1 ; final points 2.49
Vardas4482         Pavarde4482  2  3  7  9  2  6  7 10  2  3  2  6  6  5  1  1 ; final points 2.49
Vardas1213         Pavarde1213  4  3  5  3  8  7  4  5  1  9  7  4  2  5  4  1 ; final points 2.49
Vardas9805         Pavarde9805  4  4  1  1  3 10  4  3  2  8  4  7  5  8  7  1 ; final points 2.49
Vardas14             Pavarde14  5  9  5  9  3  1  1  6  1  2  1  4  9  9  6  1 ; final points 2.49
Vardas9524         Pavarde9524  3 10  2  4  1  6  8  8 10  5  8  1  1  2  2  1 ; final points 2.49
Vardas4610         Pavarde4610  2  1  5  5 10  5  3  3  1  7  7  4  3  8  7  1 ; final points 2.49
Vardas3037         Pavarde3037  1  2  1  8  9  2  9  2 10  9  5  1  1  1 10  1 ; final points 2.49
Vardas269           Pavarde269 10 10  7  4  1  2  2  1  2  8  9  5  6  1  3  1 ; final points 2.49
Vardas7833         Pavarde7833  3  5  3  6  7  7  7  1  5  2  9  8  2  2  5  1 ; final points 2.52
Vardas1367         Pavarde1367  4  5  1  1  2  2  2  9 10  5  5  7  9  6  4  1 ; final points 2.52
Vardas504           Pavarde504  2  3  6  7  8  5  5  3  6  4  9  2  3  6  3  1 ; final points 2.52
Vardas1088         Pavarde1088 10  4  7  7  6  1  6  1  3  6  8  5  5  1  2  1 ; final points 2.52
Vardas2055         Pavarde2055  5  1  1  3 10  6  1  3  8  2  8  1  9  5  9  1 ; final points 2.52
Vardas6863         Pavarde6863 10  5  6  3  1 10 10  1  1  2  6  3  1  4  9  1 ; final points 2.52
Vardas7961         Pavarde7961 10  9  1  5  2  6  4  3  6  1  7  2  2 10  4  1 ; final points 2.52
Vardas9566         Pavarde9566  4  5  3  1  3  1  5  8  8  7  1 10  8  7  1  1 ; final points 2.52
Vardas3056         Pavarde3056  6  2  9  8  9  1  1  7  1  6 10  1  2  1  8  1 ; final points 2.52
Vardas6169         Pavarde6169  7  6  8  1  3  1  6  6  4  1  5  6  6  8  4  1 ; final points 2.52
Vardas7488         Pavarde7488  2  5  8  6  9  5  7  1  1  9  2  4  1  2 10  1 ; final points 2.52
Vardas5488         Pavarde5488  2  3  5 10  4  8  3  3  6  8  6  3  1  5  5  1 ; final points 2.52
Vardas9977         Pavarde9977  2  7  4  9  3  2  5  1  1  9  7 10  9  1  2  1 ; final points 2.52
Vardas8851         Pavarde8851  7  1  2  4  7  8  8  2  5  3  2  7  5  1 10  1 ; final points 2.52
Vardas893           Pavarde893  1  9  3  4 10  2  4  2  1 10  4  6  6  2  8  1 ; final points 2.52
Vardas6187         Pavarde6187  1 10  1  3  2  3  9  2  4  6  8  3  3  8  9  1 ; final points 2.52
Vardas1867         Pavarde1867  4 10  1  7  5  1  3  4  3  4  6  7  6  8  3  1 ; final points 2.52
Vardas7743         Pavarde7743  5  9  4 10  1  2  1  2  4  6  5  4  4  6  9  1 ; final points 2.52
Vardas6452         Pavarde6452  2  2  1  5  3  4  6  6  9  4  8  6  7  5  4  1 ; final points 2.52
Vardas2973         Pavarde2973  6  6  7  1  8  3  6  1  3 10  1  3  6  1 10  1 ; final points 2.52
Vardas8371         Pavarde8371  5  5  8  9  2  2  9  1  3  5  8  7  1  7  1  1 ; final points 2.55
Vardas4648         Pavarde4648  4  5  7  1  1  4  3  7  8  7  6  4  7  5  4  1 ; final points 2.55
Vardas3914         Pavarde3914  1  9  3  6  7  4  8  4  3  6  3  1  8  6  4  1 ; final points 2.55
Vardas1802         Pavarde1802  3  1  3  2  2  5  1  9  6  7  4  8  6  6 10  1 ; final points 2.55
Vardas4043         Pavarde4043  1  6  9  3  5 10  9 10  1  1  3  9  1  4  1  1 ; final points 2.55
Vardas6791         Pavarde6791  2  4  4  3  8  5  7  5  4  2  1  2  8  8 10  1 ; final points 2.55
Vardas7953         Pavarde7953  8  6  2  2  4  2  8  5  4  6  2  2  9 10  3  1 ; final points 2.55
Vardas8296         Pavarde8296 10  1  5  1  9  8  1 10  3  5  3  6  8  1  2  1 ; final points 2.55
Vardas6105         Pavarde6105  7  6  5  3  1  9  5  3  7  9  5  1  3  1  8  1 ; final points 2.55
Vardas5644         Pavarde5644  9  5  7  7  4  7  1  6  3  2  8  4  1  3  6  1 ; final points 2.55
Vardas7928         Pavarde7928  4 10  4  4  4  8  3  1  6  1  3  7 10  4  4  1 ; final points 2.55
Vardas4879         Pavarde4879  5  3  6  2  9 10  6  7  1  3  1  3  2  5 10  1 ; final points 2.55
Vardas654           Pavarde654  4  5  7 10  1  6  5  7  2  8  1  6  6  2  3  1 ; final points 2.55
Vardas8209         Pavarde8209  4  4  1  8  8  3  4  4  4  7  9  2  3  8  4  1 ; final points 2.55
Vardas3004         Pavarde3004  5  5  3  1  3  3  7  6  7  4  3  6  6  4 10  1 ; final points 2.55
Vardas4479         Pavarde4479  3  6  5  9  4  4 10  5  2  4  4  2 10  2  3  1 ; final points 2.55
Vardas6719         Pavarde6719  8  3  6  9  3  5  1 10  6  6  3  4  3  1  5  1 ; final points 2.55
Vardas1227         Pavarde1227  1  1  2  8 10  1  7  6 10 10  1  4  3  5  4  1 ; final points 2.55
Vardas1653         Pavarde1653  2  7  1  1  2  1  5 10  5  9  7  6  7  4  6  1 ; final points 2.55
Vardas6017         Pavarde6017  6  3  3  6  3  2  9  5  5  1  8 10  2  7  3  1 ; final points 2.55
Vardas3863         Pavarde3863  9 10  2  4  7  1  5  1  7  2  8  1  6  3  7  1 ; final points 2.55
Vardas5496         Pavarde5496  3  4  8  5  4  9  5  3  1  2  6  7  3  6  7  1 ; final points 2.55
Vardas403           Pavarde403  2  5 10  8 10  4  3  7  3  7  3  1  4  3  3  1 ; final points 2.55
Vardas9825         Pavarde9825  2  8  2  5  8  9  1  7  2  1  6  6  8  5  4  1 ; final points 2.57
Vardas1149         Pavarde1149  1  3  4  6  7  3  7  5  2 10  2  8  4  5  7  1 ; final points 2.57
Vardas5915         Pavarde5915  6  6  4  1 10  5  6  3  9  1  5  2  4  6  6  1 ; final points 2.57
Vardas1956         Pavarde1956  5  1  4 10  8  2  7  1  8  4  3  4  4  3 10  1 ; final points 2.57
Vardas2020         Pavarde2020  4  6  5  6  3  2  6  3  4  7  3  7  9  7  2  1 ; final points 2.57
Vardas5337         Pavarde5337  1  1  3  3  8  8  4  2  4  9  2  4  7 10  8  1 ; final points 2.57
Vardas1968         Pavarde1968  9  1  5  3  8  7 10  2  8  4  3  8  2  1  3  1 ; final points 2.57
Vardas5245         Pavarde5245  9  3  1 10 10  6  1  2 10  1  3  2  4  4  8  1 ; final points 2.57
Vardas5756         Pavarde5756  7  4  4  4  4  6  7  4  6  3  6  1  5  8  5  1 ; final points 2.57
Vardas3141         Pavarde3141  7  9  6  4  2  6  1  3  7  5  5  6  1  3  9  1 ; final points 2.57
Vardas3091         Pavarde3091  4  9 10  6  3  8  8  3  7  2  5  4  1  1  3  1 ; final points 2.57
Vardas1249         Pavarde1249  1  1  2 10  2  9  8  7  7  6  4  4  6  4  3  1 ; final points 2.57
Vardas556           Pavarde556  3  2 10  4  9  2  5  3  4  4  6  5  6  9  2  1 ; final points 2.57
Vardas5177         Pavarde5177  5  5  7  1  3  6  3  3  9  9  4  5  6  2  6  1 ; final points 2.57
Vardas3764         Pavarde3764 10  3  8  3  7  3  3  3  1  5  5  2  7  4 10  1 ; final points 2.57
Vardas1981         Pavarde1981  5  2  7  6  5  4  1  8  4  6  5  7  6  5  3  1 ; final points 2.57
Vardas813           Pavarde813  4  9  8  2  6  1  2  9  6  9  7  4  1  3  3  1 ; final points 2.57
Vardas1990         Pavarde1990  3  2  6  8  5  3  9  1  4  6  4  6  1 10  6  1 ; final points 2.57
Vardas9840         Pavarde9840  4  2  6  7  7  7  1  1  6  6  9  3  6  6  3  1 ; final points 2.57
Vardas9837         Pavarde9837  5  3 10  5  9  1  9  6  5  5  1  7  5  1  2  1 ; final points 2.57
Vardas7098         Pavarde7098 10  5  7  1  3  8  8  1  6  6  5  3  3  4  4  1 ; final points 2.57
Vardas2747         Pavarde2747  1 10  1  6  2  7 10  1  9  5  9  5  4  1  3  1 ; final points 2.57
Vardas5495         Pavarde5495  5  7  8 10  1  2  1  8  4  7  4  6  5  4  2  1 ; final points 2.57
Vardas4118         Pavarde4118  8  5  4  8  2  1  8  1 10  2  2  9  4  6  4  1 ; final points 2.57
Vardas4221         Pavarde4221  9  6  6  1 10  9  2  4  2  4  1  4  3  7  6  1 ; final points 2.57
Vardas9568         Pavarde9568  6  4  3  8  4  2  6  8  5  3  1  6  8  7  3  1 ; final points 2.57
Vardas1250         Pavarde1250  5  3  9  8  9  9  3  4  7  3  1  3  1  1  8  1 ; final points 2.57
Vardas2713         Pavarde2713  5  3 10  4  8  1  3  2  5  1  4 10  7  5  6  1 ; final points 2.57
Vardas1864         Pavarde1864  8 10  8  8  6  3  5  4  4  3  4  6  1  2  2  1 ; final points 2.57
Vardas3318         Pavarde3318  2  2  3  1  3  2  1  2  7  1  7  7  2  2 10  2 ; final points 2.59
Vardas2217         Pavarde2217  2  4  2  1  7  2  3  5  2  1  2  7  3  4  7  2 ; final points 2.59
Vardas1401         Pavarde1401  8  6  4  5  2  6  4  7  6  1  6  3  3  5  9  1 ; final points 2.60
Vardas5837         Pavarde5837  6  2  8  3  8  9  3  6  1  3  5  8  1  7  5  1 ; final points 2.60
Vardas8728         Pavarde8728  1  9  5  4  9  4  6  2  6  5  5  4  8  3  4  1 ; final points 2.60
Vardas7158         Pavarde7158  5 10  2  6 10  1  3  5  8  1  9  4  2  1  8  1 ; final points 2.60
Vardas2570         Pavarde2570  1  8  6  4  8  8  4  9  1  4  1 10  3  2  6  1 ; final points 2.60
Vardas7729         Pavarde7729  2 10  5  3  4  6  1  6 10  3  2  6  9  6  2  1 ; final points 2.60
Vardas7398         Pavarde7398  2  8  9 10  4  2  5  3  1  4  8  8  4  5  2  1 ; final points 2.60
Vardas7468         Pavarde7468  6  6  4  5  3  1  9  2  8  2  9  9  1  5  5  1 ; final points 2.60
Vardas6481         Pavarde6481  2  7 10  5  3  2  4  2  2  3  7  7  9  2 10  1 ; final points 2.60
Vardas6404         Pavarde6404  9  6  9  6  2  1  2  2  7  9  2  2  2  8  8  1 ; final points 2.60
