Vardas5459         Pavarde5459  2  2  5  5  8  4  9  4  6  1  1  7 10  6  5  5 ; final points 5.00
Vardas162           Pavarde162  6  9  4  8  6  4 10 10  9  4  5  8  6  1  9  4 ; final points 5.04
Vardas3239         Pavarde3239  3 10  4  4  5  3  5  5  2 10  5  8  8  3  2  5 ; final points 5.05
Vardas7774         Pavarde7774  5  1  4  9  2  1  8  6  7  2  2  6  7  7 10  5 ; final points 5.05
Vardas1408         Pavarde1408 10 10  4 10  1  7  2  1  9  2  2  2  7  1  9  5 ; final points 5.05
Vardas3943         Pavarde3943  9  6  7  2  2 10  2  5  7  8 10  2  5  1  1  5 ; final points 5.05
Vardas50             Pavarde50  1  3  4  9  2  5 10  4 10  6  7  1  9  4  2  5 ; final points 5.05
Vardas4931         Pavarde4931 10  4  8  1  7  1  3  7  1  6  2  8  8  4  7  5 ; final points 5.05
Vardas439           Pavarde439  5  6  8  9  6  6  4  2  2  2  2  1  8  6 10  5 ; final points 5.05
Vardas9161         Pavarde9161  9  5  3  5  4  9  7  4  6  2  3  5  9  1  5  5 ; final points 5.05
Vardas174           Pavarde174  3  6  9  5 10  9  2  3  8 10  5  1  2  1  3  5 ; final points 5.05
Vardas1612         Pavarde1612  6  1  2  2  8  4  3  6 10  9  8  5  4  3  6  5 ; final points 5.05
Vardas6384         Pavarde6384  4  2  5  6  7  8  6  4  4  4  5  7  3  9  3  5 ; final points 5.05
Vardas8887         Pavarde8887  4  8  5  7  9  5  1  1  3  5  1  9  8  6  5  5 ; final points 5.05
Vardas9659         Pavarde9659  6  9  7  3  4  2  7  7  6  3  3  6  2  8  4  5 ; final points 5.05
Vardas8106         Pavarde8106  8  9  5  7  1  4  5  4  1  5  5  7  6  2  8  5 ; final points 5.05
Vardas9742         Pavarde9742  1  2  2  7  8  9  6  8  8 10  2  1  1  5  7  5 ; final points 5.05
Vardas4753         Pavarde4753  4  8  9  3  3  7  2  7  3 10  6  1  7  3  4  5 ; final points 5.05
Vardas9779         Pavarde9779  4  2  7  2  3  1  5 10  7  6 10  6  6  6  2  5 ; final points 5.05
Vardas2179         Pavarde2179  6  1  5  4  6  2  5  8  8  5  5  8  7  5  2  5 ; final points 5.05
Vardas2182         Pavarde2182  7  8  4  7  1  8  4  2  5  8  2  1  9  8  3  5 ; final points 5.05
Vardas8553         Pavarde8553  5  9  1  6  2  8  1  8  9  9  3  2  3  3  8  5 ; final points 5.05
Vardas581           Pavarde581 10  2  9  5  9  4  3  5  3  8  4  3  2  1  9  5 ; final points 5.05
Vardas7719         Pavarde7719  9  2  7  1 10  5  3 10  7  3  1  3  7  2  7  5 ; final points 5.05
Vardas8848         Pavarde8848  5  8  4  1  9  9  6  1  5  9 10  2  2  3  3  5 ; final points 5.05
Vardas5270         Pavarde5270  3  4  2  9  3  5  2  6  6  9  8  7  2  8  3  5 ; final points 5.05
Vardas9426         Pavarde9426 10  2  1  1 10  1  7  5  9 10  3  6  1  6  5  5 ; final points 5.05
Vardas5054         Pavarde5054  5  9  1  4  4  5  8  5  6  1  4 10  3  4  8  5 ; final points 5.05
Vardas4286         Pavarde4286  5  7  8 10  6  6  6  9  3  2  2  5  1  6  1  5 ; final points 5.05
Vardas1969         Pavarde1969  5  5  2  2  4  6  5  7  9  2 10  4  2  6  8  5 ; final points 5.05
Vardas2946         Pavarde2946  6  6 10  8  7  4  5  3  1  5  1  4  4  8  5  5 ; final points 5.05
Vardas7829         Pavarde7829  6  8  9  3  5  6  2  3  6  3  7  9  3  5  2  5 ; final points 5.05
Vardas827           Pavarde827  2  8  1  8 10  1  6  3  1  9 10  1  6  3  8  5 ; final points 5.05
Vardas9428         Pavarde9428  9  6  3  1  3  9  8  5  2  7  3  3  7  2  9  5 ; final points 5.05
Vardas2064         Pavarde2064  6  8  7  6  2  6  3  1  7  1  9  6  2  3 10  5 ; final points 5.05
Vardas4558         Pavarde4558  6  3  6  3  3  7  7  6  3  5  7  6  8  3  4  5 ; final points 5.05
Vardas5190         Pavarde5190 10  1  6  3 10  3  3  2  8  5  4  9  2  3  8  5 ; final points 5.05
Vardas346           Pavarde346  8  8  1  5  2  5 10  6  2  4  6  4  2  7  7  5 ; final points 5.05
Vardas7455         Pavarde7455  8  2  9 10  7  5  5 10 10  8  8  1  6  8  3  4 ; final points 5.07
Vardas397           Pavarde397  7  8  2  5  5  9  8  9  5  9  8  4  9  4  8  4 ; final points 5.07
Vardas6971         Pavarde6971  1  4  2  2  7  2  6  4  3  5  5  6  2  5  1  6 ; final points 5.07
Vardas2220         Pavarde2220  9  2  9 10  6  7  7  7  6  5  8  7  9  4  4  4 ; final points 5.07
Vardas682           Pavarde682  5  8  1  4  8  2  8  2  1  7  1  2  3  1  2  6 ; final points 5.07
Vardas8756         Pavarde8756  1  6  8  2  3  7  1  6  2  1  4  6  2  3  3  6 ; final points 5.07
Vardas9306         Pavarde9306  6  1  2  1  2 10  7  2  4  1  2  5  2  7  3  6 ; final points 5.07
Vardas8910         Pavarde8910  9 10 10  8  6  8  4  3  5  7  9  4  5  7  5  4 ; final points 5.07
Vardas5541         Pavarde5541  9  3  6  6  6  2  9  8  5 10  7  6  7  8  8  4 ; final points 5.07
Vardas2134         Pavarde2134 10  7  9  6  6  9  5  4  9  3  2  5  8 10  7  4 ; final points 5.07
Vardas8428         Pavarde8428  4  6  4  4  6  8  8 10  8  8  3  7  8  6 10  4 ; final points 5.07
Vardas597           Pavarde597  9  9  6  1 10  7  2  9  8  8  4  7  6  6  8  4 ; final points 5.07
Vardas2518         Pavarde2518 10  9  7 10  5  2  6 10  4  6 10  3  6  9  3  4 ; final points 5.07
Vardas3316         Pavarde3316 10 10  9  1  5  5 10  7  9  3  2  6  8  9  6  4 ; final points 5.07
Vardas9975         Pavarde9975  8  9 10  5  9  9  7  9  4  3  3 10  6  1  7  4 ; final points 5.07
Vardas5615         Pavarde5615  7  5 10  5  9  9  7  3  6  6  6  9  3  5 10  4 ; final points 5.07
Vardas9329         Pavarde9329  5  5 10  6 10  7  3  2  6  9  9  9  3  6 10  4 ; final points 5.07
Vardas8178         Pavarde8178  2  1  2  7  9  2  4 10  6  4 10  3  8  9  1  5 ; final points 5.08
Vardas8607         Pavarde8607  1  4  4  4  1  5  8  6  9  3  6  3  6  9  9  5 ; final points 5.08
Vardas3650         Pavarde3650  2  6  5 10  7  1  7  8  1  5  6  2  6  3  9  5 ; final points 5.08
Vardas5095         Pavarde5095  7 10  3  7  8  3  5  4  2  3  7  6  3  8  2  5 ; final points 5.08
Vardas219           Pavarde219  3  8  2  3  9  2  9  5  7  3  7  3  2 10  5  5 ; final points 5.08
Vardas2259         Pavarde2259  9  8  4  1  3  2  7  2  8  7  1  3  7  9  7  5 ; final points 5.08
Vardas6584         Pavarde6584  1  8  6  9  9  5  5  2  3  7  5  9  4  4  1  5 ; final points 5.08
Vardas640           Pavarde640  6  5  2  1 10  9  3 10  5  2  2  2  9  8  4  5 ; final points 5.08
Vardas4856         Pavarde4856  9  1  4  9  2  2  6  2 10  8 10  3  4  1  7  5 ; final points 5.08
Vardas486           Pavarde486  2  2  5 10  4  5  5  8  1  2  5  8  7  7  7  5 ; final points 5.08
Vardas2677         Pavarde2677  7  7  1  7  7  3  3  3  5  8  8  2  4  8  5  5 ; final points 5.08
Vardas4650         Pavarde4650  6  6  5  5  4  4  7  9 10  4  7  1  4  3  3  5 ; final points 5.08
Vardas610           Pavarde610  2  8  2  4  4  4  4  6 10  6  4  1  9  8  6  5 ; final points 5.08
Vardas4905         Pavarde4905  4  2  3  5 10  9  6  6  1  6  7  3  5  3  8  5 ; final points 5.08
Vardas974           Pavarde974  1  3 10  3  6  2  4 10 10  2  2  9  9  3  4  5 ; final points 5.08
Vardas3869         Pavarde3869  1  9  6  5  1  3  2  8  4  2  9  7  8  3 10  5 ; final points 5.08
Vardas7611         Pavarde7611  8  6  3  2  4  2  1  3  5 10  6  5 10  4  9  5 ; final points 5.08
Vardas961           Pavarde961  2  3  3  7 10  9  2  5  2  8  4  3  6  8  6  5 ; final points 5.08
Vardas7394         Pavarde7394  2  7  5  1  4  5  8 10 10  1  2  8  8  4  3  5 ; final points 5.08
Vardas3639         Pavarde3639  7  1  3  6  1  6  6  7  6  9  8  5  3  9  1  5 ; final points 5.08
Vardas8790         Pavarde8790  9  2  1  4  6  4  1  8 10  5 10  5  7  3  3  5 ; final points 5.08
Vardas2607         Pavarde2607  9  2  5  6  1  8  6  8  7  6  6  1  5  4  4  5 ; final points 5.08
Vardas9249         Pavarde9249 10  4  4  7  2  9  3  1  3  9  4  1  7  6  8  5 ; final points 5.08
Vardas9236         Pavarde9236  6  3  8 10 10  5  1  5  1  6  9  4  1  6  3  5 ; final points 5.08
Vardas8789         Pavarde8789  4  4  1  1  7 10  4  2  8  7  6  4  6  5  9  5 ; final points 5.08
Vardas779           Pavarde779  3  7  4  6  3  8  1  5  8  7  4  8  2  6  6  5 ; final points 5.08
Vardas2828         Pavarde2828  4  3  4 10  1  8  7  1  6  4  6 10  7  2  5  5 ; final points 5.08
Vardas8780         Pavarde8780 10  4  2  9  8  7  1  1  8  2  5  6  6  5  4  5 ; final points 5.08
Vardas4734         Pavarde4734  1  3  7  2  5 10  5  7  1  4  6 10  9  1  7  5 ; final points 5.08
Vardas6197         Pavarde6197  9  3  3  5  3  4  3  7  7  1  5 10  7  6  5  5 ; final points 5.08
Vardas7694         Pavarde7694  6  6  2  6  8 10  6  3  3  9  2  1  4 10  2  5 ; final points 5.08
Vardas1342         Pavarde1342  2  6  2  7  5  2  4  4  5  9 10  1  5  8  8  5 ; final points 5.08
Vardas2600         Pavarde2600 10  6  8  2  6  1  7  1  1  5  5  7  8  8  3  5 ; final points 5.08
Vardas5042         Pavarde5042  7  5  4  3  1  3  5  5  5  2  6  5 10  9  8  5 ; final points 5.08
Vardas6505         Pavarde6505  6  9  8  4  2  4  7  8  1  5  5  6  7  2  4  5 ; final points 5.08
Vardas3459         Pavarde3459  3  3  5  3  1  7  9  6  4  7  9  1  4  9  7  5 ; final points 5.08
Vardas210           Pavarde210  4  1  5  8  1  7  6  9  2  3  8  1  8  8  7  5 ; final points 5.08
Vardas8216         Pavarde8216  4  3  9  9  2  9  1  5  2  6  8  6  7  6  1  5 ; final points 5.08
Vardas32             Pavarde32  9  7  1  7  5  9  6 10  5  2  9  4  8  9 10  4 ; final points 5.09
Vardas9397         Pavarde9397  7  6 10 10  3 10  1  3 10  7  8  9  7  4  6  4 ; final points 5.09
Vardas9498         Pavarde9498 10  7  1  3  1 10  8  5 10 10 10  1  7  8 10  4 ; final points 5.09
Vardas8500         Pavarde8500  8  2  6  6  8  7  7  8  9  6  9 10  1  8  6  4 ; final points 5.09
Vardas1173         Pavarde1173  2  2  8  5  3  8  3  8  1  1  2  1  4  6  2  6 ; final points 5.09
Vardas7956         Pavarde7956  9  2  9 10  1  4  6  3 10  8  6  8  8 10  7  4 ; final points 5.09
Vardas1504         Pavarde1504  8 10  2  2  4 10 10  5  7  2  1  1  2  6  9  5 ; final points 5.11
Vardas8034         Pavarde8034  9 10  1  2  2  4  4  8 10  8  5  2  3  8  3  5 ; final points 5.11
Vardas9511         Pavarde9511  4  9  9  2  8  5  3  3  3  5  2  7  1  8 10  5 ; final points 5.11
Vardas1187         Pavarde1187  1 10  3  2  6  8 10  5  9  2  9  4  6  2  2  5 ; final points 5.11
Vardas5658         Pavarde5658  1  9  3  1  9  2  3  4  3 10 10  7  5 10  2  5 ; final points 5.11
Vardas6984         Pavarde6984 10  5  7  7 10  3  6  6  4  3  3  3  2  9  1  5 ; final points 5.11
Vardas8738         Pavarde8738  8  9  4  3  5  1  5  2  2 10  3  3  5  9 10  5 ; final points 5.11
Vardas4355         Pavarde4355  8  7 10  8  5  2  2  9  7  1  5  1  3  9  2  5 ; final points 5.11
Vardas9937         Pavarde9937  7  1  4  1  3  9  6  7  2  5  5  5  9  8  7  5 ; final points 5.11
Vardas3268         Pavarde3268  7  7  9  5  6  1 10  9  3  5  3  4  2  3  5  5 ; final points 5.11
Vardas2760         Pavarde2760  4  9  9  1  8 10  3  2  3  5  8  4  8  4  1  5 ; final points 5.11
Vardas4090         Pavarde4090  3  7  7 10  8  4  6  2  9  2  1  4  1  8  7  5 ; final points 5.11
Vardas8414         Pavarde8414  4  9  1  6  3  8 10  2 10  5  4  3  4  4  6  5 ; final points 5.11
Vardas7573         Pavarde7573  8 10  7  1  1  7  3  4  1  1 10  8  6  6  6  5 ; final points 5.11
Vardas4413         Pavarde4413  2  3  4  1  9 10  3  5  2  5  5  8  7  5 10  5 ; final points 5.11
Vardas9888         Pavarde9888  6  1  4 10  2 10  4  4  7  1  3  8  4  5 10  5 ; final points 5.11
Vardas5349         Pavarde5349  5  2  9  3  6  4  9  4  3  9  2  5  9  1  8  5 ; final points 5.11
Vardas5686         Pavarde5686  1  9  6  6  3  7  7  3  5  1  9  3  8  7  4  5 ; final points 5.11
Vardas5892         Pavarde5892  7  1  3  8  9  2  4  5  9 10  8  2  2  7  2  5 ; final points 5.11
Vardas943           Pavarde943 10  4  8  5  6  5  2  3  3  1  5  9  2 10  6  5 ; final points 5.11
Vardas7581         Pavarde7581  1  4 10  1  1  3  5  8  8  9  8  5  7  3  6  5 ; final points 5.11
Vardas5195         Pavarde5195  1  9  1  3  5  7  8  2  4  7  9  6  9  4  4  5 ; final points 5.11
Vardas9780         Pavarde9780  8  1  1  3  2  7 10 10  1  1  9  4  9  6  7  5 ; final points 5.11
Vardas5449         Pavarde5449  3  3  1  8  6  3  5 10  5 10  9  7  2  1  6  5 ; final points 5.11
Vardas6168         Pavarde6168  2  2  5  8  7  8  3  2  3  9  8  2  8  4  8  5 ; final points 5.11
Vardas3301         Pavarde3301  3  9  9  7  9  2  4  2  6 10  3  2  3  3  7  5 ; final points 5.11
Vardas9612         Pavarde9612 10  1  8  7  5  8  2  8 10  6  4  1  5  1  3  5 ; final points 5.11
Vardas5153         Pavarde5153  2  1 10  1 10  9  6  5  2  7  2  6 10  4  4  5 ; final points 5.11
Vardas2943         Pavarde2943  6  3  4  2  8 10  7  8  7  3  7  3  1  8  2  5 ; final points 5.11
Vardas3434         Pavarde3434  6 10 10  4  4  1  4  2  2  7  1  9  4  7  8  5 ; final points 5.11
Vardas8655         Pavarde8655  4  3 10  7  6  3  7  9  7  1 10  3  2  5  2  5 ; final points 5.11
Vardas2512         Pavarde2512  4  2  7  8  4  1 10  9  1 10  6  1  4  4  8  5 ; final points 5.11
Vardas5059         Pavarde5059  7  1  8  2  9 10  9  4  5  8 10 10  8  5  6  4 ; final points 5.12
Vardas333           Pavarde333 10  9  8  8  8  5  1 10  6  9  5  4  6  7  6  4 ; final points 5.12
Vardas3252         Pavarde3252  6  2  6  3  3  1  3  1  5  6  4  3  6  3  5  6 ; final points 5.12
Vardas2503         Pavarde2503 10 10  8 10  5  8  7  2 10 10  9  8  1  3  1  4 ; final points 5.12
Vardas9690         Pavarde9690  3  9  5  2  3 10 10  9  5  9 10 10  4  8  5  4 ; final points 5.12
Vardas6925         Pavarde6925  6  7  8  5  1 10 10  5  5  6  6 10  7  8  8  4 ; final points 5.12
Vardas2787         Pavarde2787  6 10  9  5  7 10  3  7 10  1 10  3  1 10 10  4 ; final points 5.12
Vardas2276         Pavarde2276  8  7  9  9  1  9  8 10  1  7 10  6  7  6  4  4 ; final points 5.12
Vardas2538         Pavarde2538  9  4  8  7  3  6 10  7 10  6  3  6 10  7  6  4 ; final points 5.12
Vardas3288         Pavarde3288  7  5 10  1  4  4  2  3  1  5  1  2  1  5  6  6 ; final points 5.12
Vardas339           Pavarde339  4 10  5  2  6  6  2  4 10  9 10  9  9  9  7  4 ; final points 5.12
Vardas3872         Pavarde3872  2  5  1  3  5  1  1  3  3  3  3  7 10  3  7  6 ; final points 5.12
Vardas5251         Pavarde5251  2 10  4  8  2  4 10  9  7 10  1 10 10  8  7  4 ; final points 5.12
Vardas4720         Pavarde4720  8 10  5 10 10  7  9  4  3  8 10  9  1  7  1  4 ; final points 5.12
Vardas449           Pavarde449  8  2  2  9  6  9  6  8  9  8  4  8 10  8  5  4 ; final points 5.12
Vardas3231         Pavarde3231  4 10  9  9  8  6  4  4  8  2 10  5  3 10 10  4 ; final points 5.12
Vardas601           Pavarde601  2  9  7  7  4  9 10  2 10  8  8  7  8  8  3  4 ; final points 5.12
Vardas8994         Pavarde8994  5 10 10  8  3  9  9  8  3  7  8  2  6  4 10  4 ; final points 5.12
Vardas8853         Pavarde8853  1  6  9  1  2  2 10  1  9  8  1  7 10  5  8  5 ; final points 5.13
Vardas8584         Pavarde8584  3 10  6 10 10  2  7  2  2  2  8  4  4  8  2  5 ; final points 5.13
Vardas3307         Pavarde3307  3  7  4  9  3  3  1  2  8  9  9  7  5  2  8  5 ; final points 5.13
Vardas8287         Pavarde8287  3 10  6  7  6  2  9 10  9  5  1  3  2  5  2  5 ; final points 5.13
Vardas9774         Pavarde9774  9  3  3  7  7  9  6  2  6  5  2  2  6  5  8  5 ; final points 5.13
Vardas9757         Pavarde9757  9  2  6  8  4  1  6  9  4  3  3  9  9  6  1  5 ; final points 5.13
Vardas3856         Pavarde3856  6  8  2  4  3 10  2  8  5  6  1  8  4  3 10  5 ; final points 5.13
Vardas629           Pavarde629  5  4  2 10  2  8  1  1  6  9  4  7  3 10  8  5 ; final points 5.13
Vardas2802         Pavarde2802  3  2 10  3  1  6  5 10  6 10  7  5  6  3  3  5 ; final points 5.13
Vardas9077         Pavarde9077  8  4  1  2 10  8 10  6  3 10  2  2  9  3  2  5 ; final points 5.13
Vardas5080         Pavarde5080  4  9  9 10  9  2  4  3  6  9  2  4  1  6  2  5 ; final points 5.13
Vardas7760         Pavarde7760  3  5  4  7  3  7  3  9  6  4  1  5 10  5  8  5 ; final points 5.13
Vardas5004         Pavarde5004 10  7  3  8  3  7  9  8  3  7  2  2  2  3  6  5 ; final points 5.13
Vardas4131         Pavarde4131  9  1  9  1  6  9  7  2  1 10  1 10  7  4  3  5 ; final points 5.13
Vardas9492         Pavarde9492  6  9  7  4  3  6  2  2  9  7  4  7  6  3  5  5 ; final points 5.13
Vardas4950         Pavarde4950  4  9 10 10  2  3  6  1  7  1  7  5  2  8  5  5 ; final points 5.13
Vardas2462         Pavarde2462  9  3 10  4  8  7  1  9  7  7  4  1  2  4  4  5 ; final points 5.13
Vardas7297         Pavarde7297  6  6  9  3  4  4  7  9  1  5  8  2  4  2 10  5 ; final points 5.13
Vardas1915         Pavarde1915  6 10  3  9  9  1  3  4  6  7  2  4  4  3  9  5 ; final points 5.13
Vardas1640         Pavarde1640  7  1  8  8  9  7  6  3  4  3  5  4  2  4  9  5 ; final points 5.13
Vardas5689         Pavarde5689  8  3  5  5  1  8  6 10  5  7  5  4  3  7  3  5 ; final points 5.13
Vardas730           Pavarde730  5  1  6  2  3 10  2  5  8  1  7  7 10  5  8  5 ; final points 5.13
Vardas9962         Pavarde9962  3  3  5 10  6  8  7  1  3  1  8  7 10  3  5  5 ; final points 5.13
Vardas8304         Pavarde8304  4  4  9  2  3  4  3  3  5  9  7  5 10  3  9  5 ; final points 5.13
Vardas4676         Pavarde4676  7  4  1 10  8  7  5  3  1  1 10  4  4  8  7  5 ; final points 5.13
Vardas4023         Pavarde4023 10  3  4  5  4  7  8  6  2  8  5  6  9  1  2  5 ; final points 5.13
Vardas9354         Pavarde9354  7  4  5  2  7  4  3  1  6  8  2  7  6  8 10  5 ; final points 5.13
Vardas3756         Pavarde3756 10  8  2  1  7  1 10  2  7  2  6 10  2  7  5  5 ; final points 5.13
